scenario,n_exchanges,n_stall,auc,auc_vacuous,auc_note,cliffs_delta,mean_si_stall,mean_si_clean,si_separation,max_si_clean,min_si_stall,perfect_rank_separation,final_knowledge_mean,final_pe_total
clean,23,0,,False,,,,0.0507323018933238,,0.15836034424288872,,,0.9895833333333334,0.11344472692330355
orbit_stall,24,18,0.9722222222222222,False,,0.9444444444444444,0.5095967204351097,0.06873289523077813,0.4408638252043316,0.1390928269215999,0.05579896706256456,False,0.23541666666666666,0.7706433443960959
saturated_hold,31,0,,False,,,,0.03977498711056296,,0.15836034424288872,,,0.9895833333333334,0.11344472237815882
